job_id,fraudulent,salary_min,salary_max
11,0,100000.0,120000.0
24,0,100000.0,120000.0
32,0,50000.0,65000.0
43,0,40000.0,50000.0
77,0,65000.0,70000.0
78,0,75.0,115.0
93,0,16000.0,28000.0
99,1,95000.0,115000.0
153,0,50.0,110.0
155,0,0.0,34300.0
156,0,35000.0,40000.0
160,0,9.0,9.0
161,0,44000.0,57000.0
168,0,55000.0,75000.0
178,0,0.0,0.0
191,0,55000.0,75000.0
204,0,80000.0,100000.0
216,1,95000.0,115000.0
262,0,0.0,0.0
299,0,45000.0,67000.0
304,0,80000.0,100000.0
323,0,45000.0,65000.0
325,0,70000.0,90000.0
335,0,40000.0,50000.0
355,0,80000.0,100000.0
358,1,35000.0,73000.0
369,0,40000.0,50000.0
372,0,60000.0,120000.0
377,0,120000.0,15000000.0
379,0,42000.0,55000.0
381,0,90000.0,120000.0
383,0,100000.0,150000.0
386,0,55000.0,75000.0
398,0,75000.0,110000.0
424,0,0.0,0.0
430,0,1600.0,1700.0
439,0,30000.0,70000.0
442,0,32000.0,40000.0
443,0,50000.0,65000.0
452,0,50.0,100.0
473,0,0.0,0.0
479,0,45000.0,67000.0
494,1,23040.0,28800.0
503,0,80000.0,110000.0
537,0,9000.0,12000.0
540,0,50000.0,90000.0
541,0,80000.0,110000.0
545,0,25000.0,42000.0
572,0,120000.0,170000.0
582,0,45000.0,90000.0
609,0,70000.0,90000.0
613,0,25000.0,30000.0
626,0,55000.0,75000.0
629,1,65000.0,75000.0
667,0,5000.0,6000.0
691,0,36000.0,52000.0
708,0,0.0,0.0
711,0,110000.0,150000.0
724,0,50000.0,150000.0
735,0,100000.0,600000.0
739,0,55000.0,75000.0
741,1,80000.0,120000.0
746,0,10800.0,10800.0
755,0,45000.0,50000.0
764,0,0.0,0.0
768,0,0.0,0.0
771,0,35000.0,150000.0
776,0,60000.0,100000.0
777,0,70000.0,125000.0
779,0,37000.0,37000.0
811,0,0.0,130000.0
813,1,65000.0,75000.0
833,0,45000.0,85000.0
840,0,25000.0,35000.0
844,1,23000.0,32000.0
846,1,25000.0,30000.0
880,0,40000.0,85000.0
889,0,40000.0,70000.0
894,0,75000.0,85000.0
898,0,110000.0,140000.0
904,0,30000.0,40000.0
912,0,20000.0,35000.0
914,0,65000.0,75000.0
930,0,0.0,0.0
938,1,70000.0,120000.0
945,0,85000.0,125000.0
946,0,90000.0,120000.0
960,0,90.0,120.0
970,0,4001.0,6000.0
981,0,95000.0,125000.0
990,0,60000.0,75000.0
995,0,80000.0,110000.0
999,0,35000.0,45000.0
1004,0,80000.0,120000.0
1005,0,20000.0,30000.0
1019,0,90000.0,100000.0
1049,0,75.0,100.0
1057,0,1161.0,1161.0
1068,0,30000.0,50000.0
1070,0,40000.0,50000.0
1079,0,50000.0,70000.0
1086,0,60000.0,80000.0
1109,0,50000.0,60000.0
1143,0,110000.0,130000.0
1160,0,40000.0,45000.0
1172,0,100000.0,130000.0
1178,0,80000.0,105000.0
1183,0,36000.0,63000.0
1201,0,0.0,0.0
